lon;lat;depth;slip;strike;dip;rake;width;length;rupture
35.5270701;34.24863341;212.132;0.23049;25;45;90;200;1000;6.939
35.53168495;34.25679346;212.132;0.27331;25;45;90;200;1000;7.198
35.53630068;34.26495332;212.132;0;25;45;90;200;1000;7.393
35.54091731;34.27311299;212.132;0.087964;25;45;90;200;1000;7.619
35.54553484;34.28127248;212.132;0.13608;25;45;90;200;1000;7.728
35.55015325;34.28943178;212.132;0.51737;25;45;90;200;1000;7.899
35.55477256;34.2975909;212.132;0.55979;25;45;90;200;1000;8.078
35.55939276;34.30574984;212.132;0;25;45;90;200;1000;8.3
35.56401385;34.31390858;212.132;0;25;45;90;200;1000;8.56
35.56863584;34.32206715;212.132;0;25;45;90;200;1000;8.806
35.57325873;34.33022553;212.132;0;25;45;90;200;1000;8.991
35.5778825;34.33838372;212.132;0;25;45;90;200;1000;9.156
35.58250718;34.34654173;212.132;0;25;45;90;200;1000;9.342
35.58713275;34.35469955;212.132;0;25;45;90;200;1000;9.564
35.59175922;34.36285719;212.132;0.39922;25;45;90;200;1000;9.807
35.59638658;34.37101464;212.132;0;25;45;90;200;1000;9.974
35.60101484;34.3791719;212.132;0;25;45;90;200;1000;10.187
35.605644;34.38732898;212.132;0;25;45;90;200;1000;10.387
35.61027406;34.39548587;212.132;0.18316;25;45;90;200;1000;10.628
35.61490501;34.40364258;212.132;0.41989;25;45;90;200;1000;10.828
35.61953686;34.4117991;212.132;0.28675;25;45;90;200;1000;11.044
35.62416962;34.41995543;212.132;0;25;45;90;200;1000;11.28
35.62880327;34.42811158;212.132;0;25;45;90;200;1000;11.558
35.63343782;34.43626754;212.132;0;25;45;90;200;1000;11.756
35.63807328;34.44442332;212.132;0;25;45;90;200;1000;12.022
35.64270963;34.4525789;212.132;0;25;45;90;200;1000;12.289
35.64734689;34.4607343;212.132;0;25;45;90;200;1000;12.588
35.65198505;34.46888952;212.132;0;25;45;90;200;1000;12.846
35.65662411;34.47704455;212.132;0;25;45;90;200;1000;13.174
35.66126407;34.48519939;212.132;0;25;45;90;200;1000;13.43
35.66590494;34.49335404;212.132;0;25;45;90;200;1000;13.653
35.67054671;34.50150851;212.132;0;25;45;90;200;1000;13.953
35.67518939;34.50966278;212.132;0;25;45;90;200;1000;14.325
35.67983297;34.51781688;212.132;0;25;45;90;200;1000;14.769
35.68447745;34.52597078;212.132;0;25;45;90;200;1000;14.978
35.68912284;34.5341245;212.132;0;25;45;90;200;1000;15.257
35.69376914;34.54227803;212.132;0;25;45;90;200;1000;15.618
35.69841634;34.55043137;212.132;0;25;45;90;200;1000;15.93
35.70306445;34.55858452;212.132;0;25;45;90;200;1000;16.172
35.70771347;34.56673749;212.132;0;25;45;90;200;1000;16.445
35.71236339;34.57489026;212.132;0;25;45;90;200;1000;16.687
35.25774005;33.76632831;353.553;0.24713;25;45;90;200;1000;11.987
35.26230319;33.77449909;353.553;0;25;45;90;200;1000;11.792
35.26686719;33.7826697;353.553;0.19814;25;45;90;200;1000;11.555
35.27143207;33.79084012;353.553;0;25;45;90;200;1000;11.43
35.27599781;33.79901037;353.553;0;25;45;90;200;1000;11.38
35.28056441;33.80718043;353.553;0.22455;25;45;90;200;1000;11.209
35.28513189;33.81535032;353.553;0.86779;25;45;90;200;1000;10.965
35.28970023;33.82352003;353.553;0.63189;25;45;90;200;1000;10.85
35.29426945;33.83168955;353.553;0;25;45;90;200;1000;10.526
35.29883953;33.8398589;353.553;0;25;45;90;200;1000;10.255
35.30341049;33.84802806;353.553;0.40515;25;45;90;200;1000;9.964
